% Model,Untitled.mph
% Version,COMSOL 6.3.0.335
% Date,"Sep 30 2025, 16:39"
% Dimension,2
% Nodes,13923
% Expressions,3
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure"
% Length unit,m
% x,y,u (m/s),v (m/s),p (Pa)
0.9566004663554784,0.48258894808703395,0.06813233837168932,3.124148743820088E-5,0.0917702870520802
0.9499910785480878,0.4824819699336543,0.06852111962632475,2.9767223854450525E-5,0.14522171235542444
0.9667720315265388,0.47436312041836903,0.0995142725996096,7.294598089423571E-5,0.007674103067851599
0.9612267515547994,0.47614082459447943,0.09276132312312155,5.953622032414376E-5,0.05306654480102452
0.9708554761895687,0.47117895258276016,0.1115209259188918,9.47794586110358E-5,-0.026125338070899926
0.9775043994941963,0.46688839866591436,0.1275783242259144,1.312089308168208E-4,-0.08108073851306763
0.9926158302771493,0.45851959512783835,0.15847935754613404,2.2131493779831908E-4,-0.20568036337421172
1,0.45399255383897874,0.1749460978418568,2.685776304455226E-4,-0.2662730964680113
0.9852053860844535,0.46267948679800985,0.14319253708047142,1.7519006349718224E-4,-0.14463762676314643
0.9364918934473357,0.4826993108187567,0.06764372730314623,2.7292045978999354E-5,0.25417901343107513
0.9264233370541448,0.4886406542246856,0.04466495036986296,1.1775615951479986E-5,0.33624542440611815
0.9295383919334904,0.4827366756703556,0.0674790060337639,2.685864722141811E-5,0.31017939478733875
0.9200164777328629,0.48850026455631623,0.04519722236728266,1.2058537150717108E-5,0.38771684194612704
0.9133975637012816,0.4885283257643078,0.04507454947396166,1.2051287283239363E-5,0.4408636461613696
0.9043406159915112,0.49318513846280404,0.026892903039541834,4.3476432993982725E-6,0.5143079412583593
0.8996655518394658,0.49705996121588497,0.011645059278138982,8.202411128069366E-7,0.552461747073331
0.9068426092732668,0.4882808766317277,0.04602130192110037,1.2651516381640977E-5,0.4933890320469514
0.8963484024176765,0.4932270383920937,0.02671859724792638,4.341869390204227E-6,0.5782992633260579
0.892976588628764,0.49705740701788603,0.011651394295246992,8.304538336245896E-7,0.6059749179148868
0.9494449391679249,-0.493286836667055,0.027047761189270964,-3.616183954261388E-5,0.2292628556417516
0.9464882943143813,-0.4970828450816409,0.011773627785296248,-5.7439932545054625E-6,0.25255410022668917
0.9531772575250836,-0.4970995878144823,0.011737772906094355,-7.73449424876001E-6,0.2146305369242186
0.9558787429174387,-0.4932977997717278,0.027084835868034045,-4.8387703421683344E-5,0.19121605904935135
0.9666030208500007,-0.4891956664625647,0.04383618791706783,-2.0606241079914762E-4,0.11322598953984513
0.9599131647197259,-0.48877636186608703,0.045299182302641766,-1.6227998964529172E-4,0.15530201939761915
0.9698243916251734,-0.484086739316192,0.06442501350843412,-4.996326934784446E-4,0.0728883384294306
0.9732814074767915,-0.47918740581090713,0.0840481981033866,-9.342218431439037E-4,0.028629150526101745
